train_file,test_file,version,num_train_seqs,num_test_seqs,train_extract_time_s,test_extract_time_s,total_train_time_s,run_type,model_id_or_k,prediction_time_s,accuracy,precision_macro,recall_macro,f1_macro
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,8,4.3248,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,9,4.2761,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,10,4.2735,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,11,4.2614,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,12,4.2963,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,13,4.2459,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,14,4.299,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,15,4.3058,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,16,4.3182,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,17,4.2461,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,18,4.2649,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,19,4.4273,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,20,4.3167,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,21,4.3507,0.9997,0.9997,0.9997,0.9997
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,22,4.29,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,23,4.2993,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,individual,24,4.3146,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,1,4.3915,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,2,5.0877,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,3,5.8373,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,4,6.5871,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,5,7.2819,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,6,7.9759,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,7,8.6811,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,8,9.4062,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,9,10.1386,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,10,10.8221,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,11,11.5031,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,12,12.1721,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,13,12.8759,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,14,13.5293,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,15,14.2358,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,16,14.9491,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,17,15.6748,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,18,16.3284,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,19,17.0008,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,20,17.8356,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,21,18.5598,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,22,19.3179,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,23,20.0154,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,24,20.7222,0.9998,0.9998,0.9998,0.9998
train20_11000_5.fasta,test80_11000_5.fasta,5,2200,8800,0.5837,3.5925,541.5487,ensemble,25,21.4443,0.9998,0.9998,0.9998,0.9998
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,0,1.7348,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,1,1.6689,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,2,1.7353,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,3,1.6837,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,4,1.6816,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,5,1.6752,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,6,1.6788,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,7,1.6904,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,8,1.6481,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,9,1.6946,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,10,1.6694,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,11,1.6719,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,12,1.685,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,13,1.6877,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,14,1.6989,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,15,1.6751,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,16,1.6882,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,17,1.6932,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,18,1.7306,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,19,1.6801,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,20,1.6851,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,21,1.6946,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,22,1.6966,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,23,1.6979,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,individual,24,1.6701,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,ensemble,1,1.7348,1.0,1.0,1.0,1.0
train70_11000_4.fasta,test30_11000_4.fasta,4,7700,3300,1.9722,1.3886,1694.5963,ensemble,2,2.015,1.0,1.0,1.0,1.0
